"roll_no","full_name","email","dept_code","section","batch_year","cgpa","backlogs","placement_status"
"CB.SC.U4CSE19001","Ishaan Shetty","cb.sc.u4cse19001@cb.students.amrita.edu","CSE","A","2023","7.76","1","Not Placed"
"CB.SC.U4CSE19002","Rahul Kapoor","cb.sc.u4cse19002@cb.students.amrita.edu","CSE","A","2023","9.08","0","Not Placed"
"CB.SC.U4CSE19003","Charan Shetty","cb.sc.u4cse19003@cb.students.amrita.edu","CSE","A","2023","7.17","2","Not Placed"
"CB.SC.U4CSE19004","Anirudh Nagarajan","cb.sc.u4cse19004@cb.students.amrita.edu","CSE","A","2023","9.83","1","Not Placed"
"CB.SC.U4CSE19005","Diya Patel","cb.sc.u4cse19005@cb.students.amrita.edu","CSE","A","2023","7.91","0","Not Placed"
"CB.SC.U4CSE19006","Surya Kapoor","cb.sc.u4cse19006@cb.students.amrita.edu","CSE","A","2023","7.16","2","Placed"
"CB.SC.U4CSE19007","Diya Shetty","cb.sc.u4cse19007@cb.students.amrita.edu","CSE","A","2023","6.67","0","Not Placed"
"CB.SC.U4CSE19008","Keerthana Raman","cb.sc.u4cse19008@cb.students.amrita.edu","CSE","A","2023","6.37","2","Placed"
"CB.SC.U4CSE19009","Lakshmi Nair","cb.sc.u4cse19009@cb.students.amrita.edu","CSE","A","2023","7.59","1","Placed"
"CB.SC.U4CSE19010","Yash Das","cb.sc.u4cse19010@cb.students.amrita.edu","CSE","A","2023","8.17","1","Placed"
"CB.SC.U4CSE19011","Anirudh Kulkarni","cb.sc.u4cse19011@cb.students.amrita.edu","CSE","A","2023","7.49","0","Placed"
"CB.SC.U4CSE19012","Karthik Nagarajan","cb.sc.u4cse19012@cb.students.amrita.edu","CSE","A","2023","6.35","0","Placed"
"CB.SC.U4CSE19013","Arya Krishnan","cb.sc.u4cse19013@cb.students.amrita.edu","CSE","A","2023","7.18","1","Placed"
"CB.SC.U4CSE19014","Tanvi Patel","cb.sc.u4cse19014@cb.students.amrita.edu","CSE","A","2023","8.86","0","Placed"
"CB.SC.U4CSE19015","Varun Nair","cb.sc.u4cse19015@cb.students.amrita.edu","CSE","A","2023","9.7","2","Not Placed"
"CB.SC.U4CSE19016","Rahul Bose","cb.sc.u4cse19016@cb.students.amrita.edu","CSE","A","2023","9","2","Placed"
"CB.SC.U4CSE19017","Aishwarya Mishra","cb.sc.u4cse19017@cb.students.amrita.edu","CSE","A","2023","9.72","2","Not Placed"
"CB.SC.U4CSE19018","Karthik Patel","cb.sc.u4cse19018@cb.students.amrita.edu","CSE","A","2023","8.9","0","Not Placed"
"CB.SC.U4CSE19019","Varun Shetty","cb.sc.u4cse19019@cb.students.amrita.edu","CSE","A","2023","6.51","2","Not Placed"
"CB.SC.U4CSE19020","Keerthana Krishnan","cb.sc.u4cse19020@cb.students.amrita.edu","CSE","A","2023","7.51","1","Not Placed"
"CB.SC.U4CSE19021","Pooja Shetty","cb.sc.u4cse19021@cb.students.amrita.edu","CSE","A","2023","7.17","2","Placed"
"CB.SC.U4CSE19022","Aishwarya Joshi","cb.sc.u4cse19022@cb.students.amrita.edu","CSE","A","2023","9.11","2","Placed"
"CB.SC.U4CSE19023","Tanvi Reddy","cb.sc.u4cse19023@cb.students.amrita.edu","CSE","A","2023","7.61","1","Placed"
"CB.SC.U4CSE19024","Diya Patel","cb.sc.u4cse19024@cb.students.amrita.edu","CSE","A","2023","6.82","0","Not Placed"
"CB.SC.U4CSE19025","Vikram Reddy","cb.sc.u4cse19025@cb.students.amrita.edu","CSE","A","2023","8.22","1","Not Placed"
"CB.SC.U4CSE19026","Nikhil Kapoor","cb.sc.u4cse19026@cb.students.amrita.edu","CSE","A","2023","8.68","0","Placed"
"CB.SC.U4CSE19027","Keerthana Mishra","cb.sc.u4cse19027@cb.students.amrita.edu","CSE","A","2023","6.04","1","Not Placed"
"CB.SC.U4CSE19028","Tanvi Gupta","cb.sc.u4cse19028@cb.students.amrita.edu","CSE","A","2023","8.42","0","Placed"
"CB.SC.U4CSE19029","Ananya Iyer","cb.sc.u4cse19029@cb.students.amrita.edu","CSE","A","2023","8.21","1","Placed"
"CB.SC.U4CSE19030","Akash Reddy","cb.sc.u4cse19030@cb.students.amrita.edu","CSE","A","2023","8.51","0","Not Placed"
"CB.SC.U4CSE19031","Yash Reddy","cb.sc.u4cse19031@cb.students.amrita.edu","CSE","A","2023","6.97","0","Not Placed"
"CB.SC.U4CSE19032","Arya Nair","cb.sc.u4cse19032@cb.students.amrita.edu","CSE","A","2023","9.43","1","Not Placed"
"CB.SC.U4CSE19033","Ananya Kulkarni","cb.sc.u4cse19033@cb.students.amrita.edu","CSE","A","2023","7.61","1","Not Placed"
"CB.SC.U4CSE19034","Charan Nagarajan","cb.sc.u4cse19034@cb.students.amrita.edu","CSE","A","2023","9.54","2","Placed"
"CB.SC.U4CSE19035","Keerthana Patel","cb.sc.u4cse19035@cb.students.amrita.edu","CSE","A","2023","7.07","0","Not Placed"
"CB.SC.U4CSE19036","Sanjay Iyer","cb.sc.u4cse19036@cb.students.amrita.edu","CSE","A","2023","9.49","0","Not Placed"
"CB.SC.U4CSE19037","Diya Verma","cb.sc.u4cse19037@cb.students.amrita.edu","CSE","A","2023","9.05","0","Placed"
"CB.SC.U4CSE19038","Aditya Pillai","cb.sc.u4cse19038@cb.students.amrita.edu","CSE","A","2023","9.63","1","Not Placed"
"CB.SC.U4CSE19039","Rahul Das","cb.sc.u4cse19039@cb.students.amrita.edu","CSE","A","2023","7.19","0","Placed"
"CB.SC.U4CSE19040","Aarav Nair","cb.sc.u4cse19040@cb.students.amrita.edu","CSE","A","2023","9.36","0","Not Placed"
"CB.SC.U4CSE19041","Meera Shetty","cb.sc.u4cse19041@cb.students.amrita.edu","CSE","A","2023","9.24","1","Not Placed"
"CB.SC.U4CSE19042","Yash Patel","cb.sc.u4cse19042@cb.students.amrita.edu","CSE","A","2023","7.7","1","Placed"
"CB.SC.U4CSE19043","Aarav Nagarajan","cb.sc.u4cse19043@cb.students.amrita.edu","CSE","A","2023","6.95","0","Not Placed"
"CB.SC.U4CSE19044","Arya Verma","cb.sc.u4cse19044@cb.students.amrita.edu","CSE","A","2023","6.8","0","Placed"
"CB.SC.U4CSE19045","Sneha Das","cb.sc.u4cse19045@cb.students.amrita.edu","CSE","A","2023","9.9","1","Not Placed"
"CB.SC.U4CSE19046","Charan Bose","cb.sc.u4cse19046@cb.students.amrita.edu","CSE","A","2023","8.97","1","Placed"
"CB.SC.U4CSE19047","Akash Patel","cb.sc.u4cse19047@cb.students.amrita.edu","CSE","A","2023","7.91","1","Not Placed"
"CB.SC.U4CSE19048","Varun Verma","cb.sc.u4cse19048@cb.students.amrita.edu","CSE","A","2023","8.68","1","Not Placed"
"CB.SC.U4CSE19049","Harish Shetty","cb.sc.u4cse19049@cb.students.amrita.edu","CSE","A","2023","7.18","2","Placed"
"CB.SC.U4CSE19050","Arjun Gupta","cb.sc.u4cse19050@cb.students.amrita.edu","CSE","A","2023","6.7","1","Not Placed"
"CB.SC.U4CSE19051","Arya Reddy","cb.sc.u4cse19051@cb.students.amrita.edu","CSE","A","2023","7.24","2","Not Placed"
"CB.SC.U4CSE19052","Arya Patel","cb.sc.u4cse19052@cb.students.amrita.edu","CSE","A","2023","7.67","1","Placed"
"CB.SC.U4CSE19053","Ananya Patel","cb.sc.u4cse19053@cb.students.amrita.edu","CSE","A","2023","8.44","2","Placed"
"CB.SC.U4CSE19054","Charan Kulkarni","cb.sc.u4cse19054@cb.students.amrita.edu","CSE","A","2023","8.19","0","Placed"
"CB.SC.U4CSE19055","Keerthana Nagarajan","cb.sc.u4cse19055@cb.students.amrita.edu","CSE","A","2023","6.23","2","Not Placed"
"CB.SC.U4CSE19056","Sanjay Joshi","cb.sc.u4cse19056@cb.students.amrita.edu","CSE","A","2023","9.36","2","Placed"
"CB.SC.U4CSE19057","Rahul Patel","cb.sc.u4cse19057@cb.students.amrita.edu","CSE","A","2023","9.16","1","Not Placed"
